id,user_id,facebook_id,movie_name,category,created_time
263,16,149800431712088,Madagascar,Movie,2014-11-21 07:33:32
264,16,160640653979986,The Social Network Movie,Movie,2011-01-12 17:40:34
265,16,457071544317264,World War Z,Movie,2014-11-21 07:33:44
266,16,31159065182,Cars,Movie,2014-11-21 07:33:45
267,16,36193850318,What Happens In Vegas,Movie,2009-02-01 20:55:35
268,16,150354778334078,X-Men: First Class,Movie,2014-11-21 07:33:55
269,16,18128947058,Kung Fu Panda,Movie,2014-11-21 07:34:54
270,16,105460422821089,The Social Network,Movie,2010-12-08 17:28:37
271,16,180774635291325,Transformers,Movie,2014-11-21 07:33:53
272,17,103744862998017,The Bourne Identity,Movie,2014-11-21 08:07:31
273,17,407617302597394,You've Got Mail,Movie,2014-11-21 08:00:08
274,17,104093616294591,Pearl Harbor,Movie,2014-11-21 08:00:27
275,17,264315306995027,Gone With The Wind,Movie,2014-11-21 08:04:57
276,17,112017685480774,The Ghost and the Darkness,Movie,2014-11-21 08:06:13
277,17,101898169852566,Inglorious Basterds,Movie,2014-11-21 08:04:33
278,17,215328615157408,Breakfast at Tiffany's,Movie,2014-11-21 08:00:43
279,17,109436175750227,Catch Me If You Can,Movie,2014-11-21 08:03:15
280,17,109515715734415,Runaway Bride,Movie,2014-11-21 08:02:30
281,17,96698020019,How to Train Your Dragon,Movie,2014-11-21 08:09:11
282,17,251353808252087,A Beautiful Mind,Movie,2014-11-21 08:05:54
283,17,109887225704185,October Sky,Movie,2014-11-21 08:00:59
284,17,400024903412192,Pursuit of Happyness,Movie,2014-11-21 08:03:32
285,17,118194755634,Up,Movie,2014-11-21 08:09:05
286,17,571601889534616,When Harry Met Sally,Movie,2014-11-21 08:05:10
287,17,106520992716808,Princess Diaries,Movie,2014-11-21 08:02:18
288,17,106325859403023,Harry Potter and the Deathly Hallows: Part II,Movie,2014-11-21 08:01:45
289,17,105634886138092,12 Angry Men,Movie,2014-11-21 08:01:11
290,17,105742379466221,Bourne Ultimatum,Movie,2014-11-21 08:07:19
291,17,114921098524904,Die Hard 4,Movie,2014-11-21 08:05:22
292,17,599909380052904,Man From Earth,Movie,2014-11-21 08:06:27
293,17,105427566156282,The Bourne Supremacy,Movie,2014-11-21 08:07:25
294,18,118044381262,The Adjustment Bureau,Movie,2010-09-24 19:50:03
295,18,173433689340252,No Strings Attached,Movie,2010-11-09 00:56:41
296,18,8907712172,Into the Wild,Community,2010-05-08 20:50:27
297,18,118976908122157,Hotel Hollywood,Movie,2010-10-05 11:26:46
298,18,55200621163,2012,Movie,2009-11-14 22:08:24
299,18,105599542806800,Tears of the Sun,Movie,2010-05-08 22:21:53
300,18,112953695382612,Miss Congeniality,Movie,2010-05-08 22:21:58
301,18,281617014932,The Japanese Wife,Movie,2010-03-05 23:39:56
302,18,166569436686716,Friends with Benefits,Movie,2011-03-17 13:59:21
303,18,22782197319,Night at the Museum 2,Movie,2009-08-01 23:02:29
304,18,216459211764969,Creating Freedom,Movie,2012-04-16 03:07:12
305,18,210702582273745,30 Minutes Or Less,Movie,2011-06-26 11:54:13
306,18,267077191900,VALENTINES DAY THE MOVIE (2010),Community,2010-02-10 20:30:09
307,18,242500958501,"Waiting for ""Superman""",Movie,2010-09-24 19:49:41
308,18,18927034822,College,Movie,2010-03-01 01:00:51
309,18,105460422821089,The Social Network,Movie,2010-07-16 22:24:05
310,18,140328802655685,Bad Teacher,Movie,2011-06-26 23:05:42
311,18,546225862145538,The Illusionist,Movie,2014-10-08 13:03:38
312,18,105686579466086,The Butterfly Effect,Movie,2010-05-08 20:53:39
313,18,135926023097382,The Social Network,Movie,2010-10-20 03:03:28
314,18,91290503700,Inception,Movie,2010-07-14 13:40:14
315,18,229986050475716,Miss Congeniality,Movie,2013-03-29 03:51:18
