id,user_id,movie_name_first,movie_name_second,facebook_id_first,facebook_id_second,user_clicked,created_at,why user liked?,source
165,16,Ted,Captain America,317928348241564,122352024462380,317928348241564,2014-11-21 02:02:10,,pilot
166,16,Captain America,Toy Story 3,122352024462380,113242012023271,122352024462380,2014-11-21 02:02:10,,pilot
167,16,Men In Black,Cars,168169803229342,31159065182,31159065182,2014-11-21 02:02:10,Story,pilot
168,16,The Social Network Movie,Real Steel,160640653979986,327836155819,327836155819,2014-11-21 02:02:10,,pilot
169,16,Real Steel,World War Z,327836155819,457071544317264,457071544317264,2014-11-21 02:02:10,Directions,pilot
170,16,Pirates of the Caribbean: On Stranger Tides,Madagascar,135585689798863,149800431712088,149800431712088,2014-11-21 02:02:10,Humor,pilot
171,16,Madagascar,The Social Network Movie,149800431712088,160640653979986,149800431712088,2014-11-21 02:02:10,,pilot
172,16,The Social Network,Ted,105460422821089,317928348241564,317928348241564,2014-11-21 02:02:10,,pilot
173,16,Fast & Furious,The Social Network,24098842630,105460422821089,105460422821089,2014-11-21 02:02:10,,pilot
174,16,Transformers,X-Men: First Class,180774635291325,150354778334078,180774635291325,2014-11-21 02:02:10,,pilot
175,16,What Happens In Vegas,Pirates of the Caribbean: On Stranger Tides,36193850318,135585689798863,135585689798863,2014-11-21 02:02:10,,pilot
176,16,World War Z,Batman: The Dark Knight,457071544317264,12887942787,12887942787,2014-11-21 02:02:10,,pilot
177,16,X-Men: First Class,What Happens In Vegas,150354778334078,36193850318,150354778334078,2014-11-21 02:02:10,,pilot
178,16,Kung Fu Panda,Fast & Furious,18128947058,24098842630,18128947058,2014-11-21 02:02:10,,pilot
179,16,Cars,Kung Fu Panda,31159065182,18128947058,31159065182,2014-11-21 02:02:10,,pilot
180,17,Inglorious Basterds,You've Got Mail,101898169852566,407617302597394,407617302597394,2014-11-21 02:12:27,,pilot
181,17,How to Train Your Dragon,When Harry Met Sally,96698020019,571601889534616,571601889534616,2014-11-21 02:12:27,,pilot
182,17,Harry Potter and the Deathly Hallows: Part II,Man From Earth,106325859403023,599909380052904,599909380052904,2014-11-21 02:12:27,story and acting,pilot
183,17,12 Angry Men,Princess Diaries,105634886138092,106520992716808,105634886138092,2014-11-21 02:12:27,,pilot
184,17,Bourne Ultimatum,Pursuit of Happyness,105742379466221,400024903412192,400024903412192,2014-11-21 02:12:27,,pilot
185,17,Die Hard 4,Breakfast at Tiffany's,114921098524904,215328615157408,215328615157408,2014-11-21 02:12:27,acting and story,pilot
186,17,A Beautiful Mind,Harry Potter and the Deathly Hallows: Part II,251353808252087,106325859403023,251353808252087,2014-11-21 02:12:27,,pilot
187,17,Man From Earth,How to Train Your Dragon,599909380052904,96698020019,599909380052904,2014-11-21 02:12:27,,pilot
188,17,When Harry Met Sally,The Ghost and the Darkness,571601889534616,112017685480774,571601889534616,2014-11-21 02:12:27,,pilot
189,17,Gone With The Wind,Die Hard 4,264315306995027,114921098524904,264315306995027,2014-11-21 02:12:27,,pilot
190,17,The Bourne Identity,A Beautiful Mind,103744862998017,251353808252087,251353808252087,2014-11-21 02:12:27,,pilot
191,17,You've Got Mail,Runaway Bride,407617302597394,109515715734415,407617302597394,2014-11-21 02:12:27,charm of the actors and story,pilot
192,17,Pearl Harbor,Inglorious Basterds,104093616294591,101898169852566,101898169852566,2014-11-21 02:12:27,Story and acting,pilot
193,17,Pursuit of Happyness,The Bourne Supremacy,400024903412192,105427566156282,400024903412192,2014-11-21 02:12:27,,pilot
194,17,Runaway Bride,12 Angry Men,109515715734415,105634886138092,109515715734415,2014-11-21 02:12:27,,pilot
195,17,Up,Gone With The Wind,118194755634,264315306995027,264315306995027,2014-11-21 02:12:27,,pilot
196,17,The Bourne Supremacy,The Bourne Identity,105427566156282,103744862998017,105427566156282,2014-11-21 02:12:27,,pilot
197,17,The Ghost and the Darkness,Up,112017685480774,118194755634,112017685480774,2014-11-21 02:12:27,,pilot
198,17,Princess Diaries,Bourne Ultimatum,106520992716808,105742379466221,106520992716808,2014-11-21 02:12:27,,pilot
199,18,Creating Freedom,Requiem for a Dream,216459211764969,104054269631460,,2014-11-21 03:31:49,,
200,18,Into the Wild,The Japanese Wife,8907712172,281617014932,,2014-11-21 03:31:49,,
201,18,FALTU,Inception,228419920656059,91290503700,,2014-11-21 03:31:49,,
202,18,Miss Congeniality,Children of Men,229986050475716,142656362465441,,2014-11-21 03:31:49,,
203,18,"Dude, Where's My Car?",50 first dates,398526576833258,9020504867,,2014-11-21 03:31:49,,
204,18,Children of Men,Kung Fu Panda,142656362465441,18128947058,,2014-11-21 03:31:49,,
205,18,Requiem for a Dream,Post Grad,706054532797482,106104889420995,,2014-11-21 03:31:49,,
206,18,50 first dates,Creating Freedom,9020504867,216459211764969,,2014-11-21 03:31:49,,
207,18,No Strings Attached,Requiem for a Dream,173433689340252,706054532797482,,2014-11-21 03:31:49,,
208,18,The Japanese Wife,Constantine,281617014932,215380638665932,,2014-11-21 03:31:49,,
209,18,Inception,The Butterfly Effect,91290503700,177888132258586,,2014-11-21 03:31:49,,
210,18,Requiem for a Dream,FALTU,104054269631460,228419920656059,,2014-11-21 03:31:49,,
211,18,Constantine,"Dude, Where's My Car?",215380638665932,398526576833258,,2014-11-21 03:31:49,,
212,18,Valentine's Day,Miss Congeniality,135476183646,229986050475716,,2014-11-21 03:31:49,,
213,18,Karthik Calling Karthik,Into the Wild,300269803925,8907712172,,2014-11-21 03:31:49,,
214,18,Kung Fu Panda,National Treasure,18128947058,112534742091328,,2014-11-21 03:31:49,,
215,18,National Treasure,Constantine,112534742091328,111849862165426,,2014-11-21 03:31:49,,
216,18,The Butterfly Effect,Valentine's Day,177888132258586,135476183646,,2014-11-21 03:31:49,,
217,18,Constantine,No Strings Attached,111849862165426,173433689340252,,2014-11-21 03:31:49,,
218,19,Varanam Aayiram,August Rush,101891889852950,273896639332607,101891889852950,2014-11-21 03:48:53,,pilot
219,19,Top Gun,Varanam Aayiram,204430826236406,101891889852950,204430826236406,2014-11-21 03:48:53,,pilot
220,19,Twilight (2008 film),Neethaane En Ponvasantham,107566302606873,421592124536646,107566302606873,2014-11-21 03:48:53,,pilot
221,19,The Social Network Movie,Top Gun,160640653979986,204430826236406,,2014-11-21 03:48:53,,pilot
222,19,Neethaane En Ponvasantham,The Dark Knight Rises,421592124536646,225034700870481,225034700870481,2014-11-21 03:48:53,,pilot
223,19,Prince of Persia: The Sands of Time,Twilight (2008 film),139195819664,107566302606873,139195819664,2014-11-21 03:48:53,,pilot
224,19,The Dark Knight Rises,August Rush,225034700870481,109573692402522,225034700870481,2014-11-21 03:48:53,,pilot
225,19,Kabhi Khushi Kabhie Gham,Varanam Aayiram.,352863808101325,1472980222948290,1472980222948290,2014-11-21 03:48:53,,pilot
226,19,Inception,Prince of Persia: The Sands of Time,91290503700,139195819664,139195819664,2014-11-21 03:48:53,,pilot
227,19,August Rush,The Social Network Movie,109573692402522,160640653979986,160640653979986,2014-11-21 03:48:53,story,pilot
228,19,August Rush,Kabhi Khushi Kabhie Gham,273896639332607,352863808101325,273896639332607,2014-11-21 03:48:53,,pilot
229,19,Varanam Aayiram.,MoneyBall,1472980222948290,181894861866102,1472980222948290,2014-11-21 03:48:53,,pilot
230,20,Hamsageethe,Catch Me If You Can,105475782818131,189231947796149,105475782818131,2014-11-21 06:23:10,,pilot
231,20,Ocean's Eleven,Seven,247282041954910,103131766394504,103131766394504,2014-11-21 06:23:10,story,pilot
232,20,Valkyrie,21,36151163682,6806293649,36151163682,2014-11-21 06:23:10,,pilot
233,20,Valkyrie,Ocean's Eleven,112269815451069,247282041954910,112269815451069,2014-11-21 06:23:10,,pilot
234,20,Seven,Naayi Neralu,103131766394504,108413992520053,108413992520053,2014-11-21 06:23:10,story,pilot
235,20,Ocean's Eleven (2001),Hamsageethe,174141142637496,105475782818131,105475782818131,2014-11-21 06:23:10,,pilot
236,20,Ocean's Eleven,Seven,105506929484028,206190329408695,206190329408695,2014-11-21 06:23:10,,pilot
237,20,3 Idiots Movie,Ocean's Eleven,441170255909978,105506929484028,105506929484028,2014-11-21 06:23:10,,pilot
238,20,Catch Me If You Can,Inception,109436175750227,91290503700,91290503700,2014-11-21 06:23:10,story,pilot
239,20,Inception,Ocean's Eleven (2001),91290503700,174141142637496,91290503700,2014-11-21 06:23:10,,pilot
240,20,Naayi Neralu,IF MR BEAN WAS EDWARD IN TWILIGHT HE WOULD LOOK LIKE THIS!!,108413992520053,494036635360,108413992520053,2014-11-21 06:23:10,,pilot
241,20,IF MR BEAN WAS EDWARD IN TWILIGHT HE WOULD LOOK LIKE THIS!!,3 Idiots Movie,494036635360,441170255909978,494036635360,2014-11-21 06:23:10,,pilot
242,20,Seven,Catch Me If You Can,206190329408695,109436175750227,206190329408695,2014-11-21 06:23:10,,pilot
243,20,21,Valkyrie,6806293649,112269815451069,6806293649,2014-11-21 06:23:10,,pilot
244,21,The Karate Kid,Alvin and the Chipmunks,184695207750,191584114216384,184695207750,2014-11-21 17:28:12,,pilot
245,21,Kung Fu Panda,The Karate Kid,18128947058,184695207750,184695207750,2014-11-21 17:28:12,,pilot
246,13,The Terminal,Inception,108121322549934,91290503700,108121322549934,2014-11-21 20:52:38,,pilot
247,13,"Lock, Stock and Two Smoking Barrels",Catch Me if U Can,113547575322620,114766948538699,114766948538699,2014-11-21 20:52:38,,pilot
